{ A1: 21.8, A2: 19, B7: 10, C14: 95 }
{ A1: 24.5, A2: 19, B7: 3, C14: 21 }
{ A1: 24.3, A2: 19, B7: 3, C14: 15 }
{ A1: 24.2, A2: 19, B7: 2, C14: 19 }
{ A1: 24, A2: 19, B7: 2, C14: 22 }
{ A1: 23.9, A2: 19, B7: 3, C14: 0 }
{ A1: 23.7, A2: 19, B7: 3, C14: 0 }
{ A1: 23.6, A2: 19, B7: 3, C14: 0 }
{ A1: 23.5, A2: 19, B7: 3, C14: 0 }
{ A1: 23.4, A2: 19, B7: 3, C14: 0 }
{ A1: 23.2, A2: 19, B7: 3, C14: 0 }
{ A1: 23.1, A2: 19, B7: 3, C14: 0 }
{ A1: 23.1, A2: 19, B7: 3, C14: 0 }
{ A1: 23, A2: 19, B7: 3, C14: 0 }
{ A1: 22.9, A2: 19, B7: 3, C14: 0 }
{ A1: 22.8, A2: 19, B7: 3, C14: 0 }
{ A1: 22.7, A2: 19, B7: 3, C14: 0 }
{ A1: 22.6, A2: 19, B7: 3, C14: 0 }
{ A1: 22.5, A2: 19, B7: 3, C14: 0 }
{ A1: 22.4, A2: 19, B7: 3, C14: 0 }
{ A1: 22.3, A2: 19, B7: 3, C14: 0 }
{ A1: 22.3, A2: 19, B7: 3, C14: 0 }
{ A1: 22.2, A2: 19, B7: 3, C14: 0 }
{ A1: 22.2, A2: 19, B7: 3, C14: 0 }
{ A1: 22.1, A2: 19, B7: 3, C14: 0 }
{ A1: 22.1, A2: 19, B7: 3, C14: 0 }
{ A1: 22, A2: 19, B7: 3, C14: 0 }
{ A1: 22, A2: 19, B7: 3, C14: 0 }
{ A1: 21.9, A2: 19, B7: 3, C14: 0 }
{ A1: 21.9, A2: 19, B7: 3, C14: 0 }
{ A1: 21.9, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.7, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 5, C14: 4 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 5, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 4, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 17, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 19, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 0 }
{ A1: 21.8, A2: 18, B7: 3, C14: 1 }
{ A1: 21.8, A2: 18, B7: 3, C14: 1 }
{ A1: 21.8, A2: 17, B7: 3, C14: 1 }
{ A1: 21.8, A2: 17, B7: 3, C14: 1 }
{ A1: 21.8, A2: 17, B7: 3, C14: 1 }
{ A1: 21.8, A2: 17, B7: 3, C14: 1 }
{ A1: 21.8, A2: 17, B7: 3, C14: 1 }
{ A1: 21.8, A2: 18, B7: 3, C14: 2 }
{ A1: 21.8, A2: 18, B7: 3, C14: 2 }
{ A1: 21.8, A2: 18, B7: 5, C14: 2 }
{ A1: 21.8, A2: 18, B7: 3, C14: 2 }
{ A1: 21.8, A2: 18, B7: 3, C14: 2 }
{ A1: 21.8, A2: 17, B7: 3, C14: 3 }
{ A1: 21.8, A2: 17, B7: 3, C14: 3 }
{ A1: 21.8, A2: 17, B7: 3, C14: 4 }
{ A1: 21.8, A2: 17, B7: 3, C14: 4 }
{ A1: 21.8, A2: 17, B7: 3, C14: 5 }
{ A1: 21.8, A2: 17, B7: 3, C14: 5 }
{ A1: 21.8, A2: 17, B7: 3, C14: 5 }
{ A1: 21.8, A2: 18, B7: 3, C14: 6 }
{ A1: 21.8, A2: 18, B7: 3, C14: 6 }
{ A1: 21.8, A2: 18, B7: 3, C14: 7 }
{ A1: 21.8, A2: 18, B7: 3, C14: 7 }
{ A1: 21.8, A2: 17, B7: 3, C14: 8 }
{ A1: 21.8, A2: 17, B7: 3, C14: 8 }
{ A1: 21.8, A2: 17, B7: 3, C14: 8 }
{ A1: 21.8, A2: 17, B7: 3, C14: 9 }
